Sample,X,Y,Z
0,0.055,0.027,-0.590
1,-0.008,0.027,-0.941
2,-0.008,0.027,-0.941
3,-0.008,0.023,-0.949
4,0.059,0.016,-0.938
5,0.109,0.008,-0.938
6,0.066,0.012,-0.961
7,0.023,0.023,-0.953
8,-0.016,0.012,-0.949
9,0.004,0.031,-0.953
10,0.070,0.016,-0.938
11,0.082,0.016,-0.949
12,0.074,0.016,-0.965
13,0.004,0.027,-0.949
14,0.000,0.008,-0.973
15,0.008,0.000,-0.934
16,0.078,0.020,-0.938
17,0.070,0.020,-0.965
18,0.070,0.027,-0.949
19,0.031,-0.004,-0.957
20,-0.020,0.020,-0.949
21,0.004,0.035,-0.957
22,0.066,0.023,-0.957
23,0.094,-0.004,-0.953
24,0.090,0.000,-0.957
25,0.000,0.027,-0.949
26,-0.023,0.027,-0.941
27,0.008,0.008,-0.945
28,0.090,0.020,-0.930
29,0.098,0.008,-0.961
30,0.082,-0.004,-0.973
31,-0.008,0.008,-0.957
32,-0.008,0.027,-0.938
33,0.004,0.031,-0.930
34,0.059,0.031,-0.957
35,0.098,0.004,-0.953
36,0.066,0.008,-0.961
37,-0.004,0.020,-0.969
38,-0.008,0.039,-0.945
39,0.027,0.016,-0.930
40,0.102,0.000,-0.934
41,0.090,0.012,-0.957
42,0.047,0.023,-0.953
43,-0.016,0.039,-0.961
44,0.000,0.000,-0.957
45,0.016,0.023,-0.930
46,0.078,0.035,-0.945
47,0.062,0.008,-0.957
48,0.051,0.020,-0.973
49,0.020,0.012,-0.973
50,0.016,0.000,-0.934
51,0.020,0.031,-0.949
52,0.090,0.008,-0.953
53,0.090,0.004,-0.953
54,0.051,0.012,-0.973
55,-0.008,0.020,-0.953
56,-0.008,0.031,-0.938
57,0.051,0.035,-0.945
58,0.062,0.004,-0.941
59,0.062,0.004,-0.941
60,0.078,0.023,-0.953
61,0.043,0.012,-0.973
62,0.016,0.020,-0.941
63,0.008,0.020,-0.941
64,0.035,0.023,-0.930
65,0.047,0.012,-0.934
66,0.102,0.004,-0.977
67,0.051,-0.004,-0.953
68,-0.008,0.020,-0.934
69,-0.031,0.055,-0.938
70,0.020,0.031,-0.938
71,0.082,-0.008,-0.949
72,0.117,0.004,-0.980
73,0.023,0.051,-0.961
74,0.004,0.039,-0.945
75,-0.027,0.020,-0.930
76,0.062,0.012,-0.930
77,0.090,0.000,-0.973
78,0.094,0.027,-0.973
79,0.016,0.016,-0.961
80,0.000,0.027,-0.934
81,-0.004,0.023,-0.934
82,0.051,0.035,-0.926
83,0.082,0.016,-0.957
84,0.070,0.012,-0.977
85,0.020,0.004,-0.965
86,0.004,0.012,-0.949
87,-0.008,0.023,-0.934
88,0.070,0.039,-0.938
89,0.062,0.008,-0.969
90,0.141,-0.035,-1.047
91,-0.020,-0.113,-1.000
92,-0.582,-0.082,-0.891
93,-1.434,0.086,-0.797
94,-1.793,0.215,-0.797
95,-1.332,0.211,-1.082
96,-0.699,0.008,-1.137
97,-0.547,-0.039,-0.914
98,-0.957,0.133,-0.762
99,-1.430,0.121,-0.559
100,-1.781,0.035,-0.559
101,-1.449,-0.004,-1.074
102,-0.633,-0.133,-1.418
103,-0.090,-0.219,-1.430
104,0.039,-0.105,-1.355
105,-0.199,0.066,-0.805
106,-0.758,0.012,-0.438
107,-0.980,0.109,-0.582
108,-0.371,0.102,-1.012
109,0.629,-0.039,-1.441
110,1.055,-0.207,-1.504
111,0.453,-0.105,-1.062
112,-0.699,0.336,-0.582
113,-1.207,0.375,-0.594
114,-0.855,0.031,-0.863
115,-0.199,-0.180,-1.160
116,0.289,-0.215,-1.270
117,0.176,-0.180,-1.102
118,-0.977,0.086,-0.672
119,-1.754,0.352,-0.434
120,-1.227,0.301,-0.488
121,-0.832,-0.160,-0.766
122,-0.418,-0.047,-1.199
123,0.137,0.027,-1.156
124,-0.750,0.023,-0.801
125,-1.668,0.223,-1.133
126,-1.227,0.137,-1.047
127,-0.852,-0.082,-0.848
128,-0.578,-0.383,-1.469
129,-0.227,-0.168,-1.176
130,-0.359,0.203,-0.875
131,-0.680,-0.027,-1.109
132,-0.559,-0.008,-0.594
133,-0.223,-0.023,-0.824
134,-0.160,0.039,-0.969
135,-0.238,0.031,-0.957
136,-0.152,-0.023,-1.211
137,-0.387,0.109,-0.965
138,-0.629,0.148,-0.918
139,-0.699,0.105,-1.016
140,-0.461,-0.039,-0.871
141,-0.207,-0.195,-0.688
142,-0.355,0.102,-0.906
143,-0.539,0.164,-1.066
144,-0.578,0.145,-0.832
145,-0.855,-0.004,-0.785
146,-0.973,0.168,-0.926
147,-0.855,-0.039,-0.867
148,-0.426,0.086,-0.906
149,-0.664,-0.004,-1.090
150,-0.578,-0.039,-0.969
151,-0.777,0.102,-0.914
152,-0.832,-0.031,-1.156
153,-0.723,-0.191,-0.902
154,-0.383,-0.152,-0.984
155,-0.523,0.047,-1.035
156,-0.895,0.191,-0.867
157,-0.570,0.102,-1.047
158,-0.148,-0.094,-0.953
159,-0.410,0.012,-0.945
160,-0.234,0.000,-1.125
161,-0.406,-0.016,-0.859
162,-0.559,0.066,-0.961
163,-0.527,0.012,-1.016
164,-0.473,0.156,-0.758
165,-0.727,-0.039,-0.957
166,-0.340,-0.070,-1.059
167,-0.285,-0.047,-0.762
168,-0.625,0.133,-0.875
169,-0.695,0.250,-1.117
170,-0.590,0.191,-0.789
171,-0.238,-0.129,-1.156
172,-0.297,-0.180,-0.996
173,-0.836,0.078,-0.664
174,-1.066,0.102,-0.859
175,-0.867,0.297,-0.805
176,-0.094,-0.129,-1.207
177,-0.023,-0.219,-0.996
178,-0.328,-0.082,-0.867
179,-0.707,0.062,-0.977
180,-1.277,-0.012,-0.688
181,-0.941,0.180,-0.934
