Sample,X,Y,Z
0,0.012,0.031,-0.582
1,0.039,0.008,-0.922
2,0.039,0.008,-0.922
3,0.059,0.020,-0.957
4,0.102,0.020,-0.969
5,0.035,0.004,-0.965
6,0.016,0.023,-0.945
7,0.008,0.012,-0.922
8,0.062,0.023,-0.934
9,0.094,0.023,-0.957
10,0.090,-0.008,-0.965
11,0.012,0.000,-0.953
12,-0.008,0.039,-0.938
13,0.000,0.027,-0.930
14,0.094,0.012,-0.945
15,0.098,-0.008,-0.957
16,0.055,0.016,-0.961
17,0.000,0.027,-0.957
18,0.004,0.020,-0.945
19,0.027,0.023,-0.941
20,0.090,0.008,-0.945
21,0.082,-0.004,-0.965
22,0.039,0.023,-0.961
23,0.012,0.023,-0.957
24,0.000,0.000,-0.938
25,0.035,0.047,-0.926
26,0.105,0.008,-0.941
27,0.074,0.004,-0.957
28,0.023,0.039,-0.965
29,-0.008,0.027,-0.953
30,-0.004,0.008,-0.930
31,0.059,0.016,-0.945
32,0.074,0.000,-0.945
33,0.066,0.031,-0.973
34,0.027,0.023,-0.969
35,0.027,0.023,-0.969
36,-0.004,0.012,-0.934
37,0.020,0.023,-0.949
38,0.078,0.004,-0.949
39,0.070,0.012,-0.961
40,0.082,0.016,-0.961
41,0.012,0.008,-0.953
42,-0.012,0.031,-0.945
43,0.012,0.020,-0.938
44,0.070,0.004,-0.941
45,0.082,0.004,-0.961
46,0.062,0.016,-0.977
47,0.008,0.023,-0.961
48,0.008,0.035,-0.949
49,0.000,0.012,-0.941
50,0.000,0.012,-0.941
51,0.055,0.012,-0.930
52,0.078,0.023,-0.973
53,0.047,0.023,-0.965
54,0.031,0.020,-0.977
55,0.008,0.004,-0.934
56,0.012,0.016,-0.922
57,0.082,0.020,-0.949
58,0.109,0.012,-0.973
59,0.059,0.004,-0.973
60,-0.008,0.020,-0.949
61,-0.031,0.023,-0.926
62,0.023,0.031,-0.934
63,0.102,0.012,-0.957
64,0.090,0.012,-0.965
65,0.035,0.031,-0.957
66,-0.008,0.016,-0.957
67,-0.012,0.023,-0.945
68,0.059,0.039,-0.941
69,0.086,0.000,-0.945
70,0.078,0.004,-0.965
71,0.035,0.020,-0.961
72,-0.008,0.027,-0.941
73,0.012,0.027,-0.938
74,0.062,-0.008,-0.930
75,0.066,0.027,-0.949
76,0.098,0.000,-0.965
77,0.020,0.023,-0.961
78,-0.035,0.023,-0.949
79,0.012,0.016,-0.934
80,0.055,0.016,-0.938
81,0.090,0.020,-0.957
82,0.086,0.020,-0.969
83,0.000,0.016,-0.957
84,-0.008,0.031,-0.945
85,0.027,0.008,-0.934
86,0.090,0.008,-0.930
87,0.090,0.016,-0.965
88,0.055,0.008,-0.965
89,-0.012,0.012,-0.945
90,0.004,0.027,-0.941
91,0.027,0.016,-0.941
92,0.094,0.012,-0.945
93,0.070,-0.004,-0.953
94,0.016,0.148,-0.996
95,0.016,0.328,-1.195
96,-0.020,0.234,-1.129
97,0.062,0.145,-0.988
98,0.156,0.090,-0.945
99,0.125,0.262,-0.930
100,0.156,0.582,-1.141
101,0.129,0.711,-1.266
102,-0.004,0.664,-1.156
103,0.004,0.562,-0.965
104,0.059,0.520,-0.836
105,0.035,0.582,-0.836
106,0.027,0.715,-0.891
107,0.008,0.730,-0.863
108,-0.082,0.738,-0.730
109,-0.066,0.758,-0.695
110,0.043,0.762,-0.738
111,0.164,0.812,-0.824
112,0.184,0.746,-0.926
113,0.137,0.691,-0.770
114,0.012,0.629,-0.621
115,-0.094,0.570,-0.617
116,-0.125,0.672,-0.703
117,-0.004,0.891,-1.078
118,0.078,0.961,-1.422
119,0.121,0.727,-1.320
120,0.012,0.230,-0.930
121,-0.125,0.148,-0.543
122,-0.055,0.719,-0.895
123,0.211,0.977,-1.527
124,0.348,0.730,-1.465
125,0.402,0.434,-1.230
126,0.059,0.461,-1.047
127,-0.277,0.473,-0.793
128,-0.387,0.387,-0.676
129,-0.250,0.613,-0.953
130,0.094,0.734,-1.250
131,0.375,0.672,-1.102
132,0.539,0.727,-1.070
133,0.238,0.602,-0.883
134,-0.379,0.238,-0.348
135,-0.551,0.656,-0.449
136,-0.027,0.984,-1.234
137,0.492,0.703,-1.172
138,0.852,0.703,-1.195
139,0.246,0.609,-1.043
140,-0.695,0.812,-0.301
141,-0.680,0.707,-0.664
142,-0.152,0.828,-1.027
143,0.410,0.648,-1.328
144,0.602,0.781,-1.270
145,0.180,0.637,-1.027
146,0.180,0.637,-1.027
147,-0.164,0.750,-0.688
148,-0.215,0.793,-0.711
149,-0.164,0.711,-0.820
150,0.141,0.645,-0.855
151,0.391,0.465,-1.094
152,0.223,0.684,-0.965
153,0.000,0.695,-0.898
154,-0.062,0.559,-0.781
155,-0.047,0.488,-0.676
156,-0.141,0.672,-0.727
157,0.016,0.617,-1.027
158,-0.027,0.676,-1.012
159,-0.223,0.699,-1.160
160,0.008,0.605,-1.383
161,0.375,0.535,-0.945
162,0.117,0.504,-1.000
