Sample,X,Y,Z
201,-0.828,0.305,-1.074
202,0.336,-0.160,-1.090
203,-0.652,-0.129,-0.660
204,-0.285,0.066,-1.332
205,-0.648,-0.016,-0.766
206,-1.141,0.117,-0.816
207,-0.348,0.125,-1.297
208,-0.180,-0.188,-0.707
209,-0.344,0.133,-1.332
210,-0.543,-0.008,-1.156
211,-0.887,-0.195,-0.352
212,-0.480,0.156,-1.344
213,-0.402,-0.051,-0.980
214,-0.258,-0.016,-0.852
215,-0.172,0.047,-1.418
216,-1.273,-0.172,-0.535
217,-0.695,0.234,-0.812
218,-0.508,0.074,-1.379
219,-0.344,-0.086,-0.676
220,-0.145,-0.039,-0.945
221,-0.699,0.141,-0.953
222,-1.270,0.059,-0.617
223,-0.602,0.348,-0.988
224,-0.211,-0.012,-1.297
225,-0.055,-0.223,-0.863
226,-0.016,-0.031,-0.914
227,-0.016,-0.031,-0.914
228,-0.457,0.156,-0.844
229,-0.711,0.199,-0.801
230,-1.012,-0.043,-1.055
231,-0.824,0.141,-0.703
232,-0.445,-0.207,-1.137
233,-0.188,-0.125,-1.148
234,-0.469,-0.137,-0.836
235,-0.504,0.418,-0.941
236,-0.633,0.176,-0.949
237,-0.496,-0.387,-0.746
238,-0.461,-0.129,-0.824
239,-0.320,-0.035,-1.168
240,-0.254,0.156,-1.031
241,-0.926,0.199,-1.094
242,-0.945,0.129,-1.297
243,-0.758,-0.129,-0.523
244,-0.512,-0.316,-0.992
245,0.016,0.164,-1.176
246,-0.086,-0.027,-0.906
247,-0.398,0.199,-1.016
248,-0.789,-0.090,-0.910
249,-1.008,-0.188,-0.742
250,-0.777,0.043,-0.910
251,-1.043,0.148,-0.855
252,-0.484,-0.020,-1.156
253,-0.250,0.145,-1.027
254,-1.059,0.031,-0.965
255,-0.645,0.180,-0.719
256,-0.660,-0.113,-0.684
257,-0.641,0.066,-0.891
258,-0.527,-0.117,-1.012
259,-0.098,0.109,-1.039
260,-0.840,0.031,-1.258
261,-0.867,0.273,-0.809
262,-0.320,0.016,-0.902
263,-0.188,-0.223,-0.820
264,-0.621,0.164,-0.980
265,-0.613,0.031,-1.105
266,-0.613,0.031,-1.105
267,-0.352,0.145,-0.789
268,-0.320,-0.168,-1.188
269,-0.121,-0.379,-0.934
270,-0.004,0.195,-0.648
271,-0.887,0.137,-1.418
272,-1.480,0.461,-0.684
273,-0.703,-0.188,-0.777
274,-0.176,-0.344,-1.305
275,-0.117,-0.043,-0.867
276,-0.559,0.168,-1.160
277,-0.336,0.324,-1.000
278,-1.129,0.211,-0.684
279,-0.852,-0.086,-0.887
280,0.207,-0.148,-0.766
281,-0.289,-0.305,-1.004
282,-0.629,0.203,-1.102
283,-0.559,0.422,-0.875
284,-1.238,-0.117,-0.957
285,-0.695,0.055,-0.949
286,-0.250,-0.074,-0.891
287,-0.172,-0.348,-1.016
288,-0.340,0.199,-0.777
289,-1.277,0.352,-0.875
290,-1.277,0.352,-0.875
291,-0.516,-0.145,-1.203
292,-0.559,-0.098,-0.793
293,-0.605,0.074,-1.070
294,0.633,-0.129,-1.141
295,-0.172,-0.332,-0.691
296,-0.852,0.195,-0.715
297,-0.387,0.336,-1.359
298,-1.449,-0.105,-0.598
299,-1.270,0.145,-0.977
300,0.398,0.152,-1.855
301,-0.227,-0.867,-0.508
302,-0.793,0.395,-0.645
303,0.562,0.285,-1.609
304,-1.008,-0.109,0.285
305,-0.848,0.613,-1.055
306,0.441,-0.199,-1.652
307,-1.004,-0.559,0.344
308,-0.949,0.258,-1.480
309,-0.246,-0.023,-1.398
310,-1.230,-0.039,0.547
311,-0.957,0.461,-1.629
312,-0.398,0.223,-1.219
313,-0.910,-0.129,0.500
314,-0.355,0.406,-1.777
315,-0.293,-0.102,-0.645
316,1.137,-0.449,0.195
317,1.973,0.027,-1.844
318,1.582,0.344,-0.680
319,1.297,0.270,-0.445
320,0.773,0.164,-1.395
321,1.109,0.043,-0.656
322,1.992,-0.430,-0.922
323,1.992,-0.309,-1.660
324,1.863,-0.105,-0.922
325,1.324,0.512,-0.652
326,-0.562,0.312,-1.219
327,1.145,-0.102,-0.852
328,1.797,-0.910,-1.297
329,0.125,-0.199,-1.426
330,0.238,0.438,-1.477
331,-0.352,-0.168,-1.180
332,-1.793,0.590,-0.629
333,-0.469,0.352,-1.590
334,0.973,-1.137,-0.828
335,0.223,-0.176,-0.066
336,0.332,0.559,-1.426
337,-0.051,-0.109,-0.133
338,-0.672,0.746,0.289
339,0.918,0.320,-1.863
340,1.039,-0.387,-0.266
341,1.160,0.004,-0.227
342,1.762,-0.016,-1.797
343,0.508,0.410,0.078
344,0.387,0.184,-0.586
345,1.730,0.184,-1.762
346,0.949,-0.477,-0.363
347,0.523,-0.293,-0.793
348,1.281,0.398,-1.805
349,0.660,-0.188,-0.586
350,0.883,-0.188,-1.320
351,1.387,0.066,-1.676
352,0.273,-0.078,-0.859
353,0.105,-0.227,-1.145
354,0.168,0.398,-1.359
355,0.574,-0.328,-1.461
356,0.270,-0.258,-0.633
357,0.488,0.148,-1.137
358,0.605,-0.266,-1.207
359,0.301,0.289,0.109
360,0.230,0.250,-1.395
361,1.207,0.055,-1.043
362,-0.441,0.125,0.070
363,0.016,-0.301,-1.629
364,0.801,0.602,-0.578
365,0.207,0.270,-0.555
366,1.383,-0.199,-1.762
367,1.273,0.129,0.098
368,-0.012,0.055,-0.461
369,0.957,0.363,-1.477
370,0.203,-0.219,0.086
371,1.277,-0.082,-1.148
372,0.879,0.270,-1.719
373,-0.094,-0.199,-0.234
374,1.320,0.301,-1.340
375,1.141,0.305,-1.227
376,0.309,-0.461,-0.465
377,1.695,0.012,-1.480
378,0.633,-0.133,-0.992
379,0.516,-0.137,-0.988
380,0.590,0.109,-1.496
381,0.086,0.137,-0.852
382,0.559,-0.285,-1.047
383,1.070,-0.043,-1.246
384,1.410,-0.316,-0.984
385,0.430,-0.145,-0.723
386,0.414,0.125,-1.297
387,-0.246,0.113,-0.699
388,-0.211,0.273,-1.133
389,0.293,-0.113,-1.367
390,1.113,0.043,-0.531
391,1.066,-0.113,-1.047
392,0.652,0.250,-0.809
393,0.145,0.270,0.062
394,0.328,0.148,-0.730
395,1.062,0.426,-1.238
396,1.277,-0.254,-1.105
397,1.492,-0.406,-1.004
398,0.281,0.273,-0.590
399,-0.141,0.215,-0.617
400,0.328,0.520,-0.543
401,0.688,0.062,-0.984
402,1.301,-0.500,-1.355
403,1.426,-0.363,-0.973
404,0.664,0.059,-1.258
405,0.148,0.285,-1.266
406,-0.242,-0.117,-0.742
407,0.574,-0.082,-1.297
408,0.602,-0.105,-1.230
409,0.707,0.055,-1.219
410,0.645,-0.160,-1.184
411,0.309,0.199,-0.633
412,0.629,-0.164,-1.148
413,0.891,-0.059,-0.953
414,0.398,-0.148,-0.605
415,0.527,0.277,-1.133
416,0.391,-0.043,-1.203
417,0.582,-0.098,-0.520
418,0.969,-0.020,-0.801
419,0.969,-0.020,-0.801
420,0.414,0.133,-0.801
421,0.230,0.102,-0.598
422,0.805,0.293,-0.773
423,0.902,0.102,-0.832
424,0.695,0.172,-1.062
425,0.914,-0.102,-1.133
426,0.262,0.020,-0.500
427,-0.059,0.441,-0.992
428,0.375,-0.102,-1.223
429,0.277,-0.082,-0.457
430,0.914,0.125,-1.324
431,0.703,-0.391,-1.293
432,0.836,0.152,-0.523
433,0.816,0.168,-1.496
434,0.473,-0.148,-0.945
435,0.754,0.051,-0.672
436,0.766,-0.129,-1.613
437,0.777,-0.016,-0.875
438,0.613,-0.129,-1.035
439,0.613,-0.043,-1.297
440,0.582,0.000,-0.609
441,0.980,-0.074,-1.148
442,0.723,-0.043,-1.160
443,0.453,0.207,-0.719
444,-0.113,-0.227,-0.875
445,-0.234,0.309,-0.609
446,0.805,-0.016,-0.992
447,0.785,0.133,-1.004
448,0.773,0.188,-0.914
449,0.746,0.004,-0.797
450,0.145,0.273,-0.605
451,-0.094,0.223,-0.840
452,1.609,0.027,-1.070
453,1.348,-0.406,-0.785
454,0.617,0.078,-1.074
455,1.168,0.070,-1.230
456,0.324,0.133,-0.336
457,-0.219,0.273,-1.102
458,0.633,0.004,-1.250
459,1.430,-0.266,-0.445
460,0.820,-0.156,-1.570
461,0.805,0.219,-1.590
462,0.738,-0.191,-0.516
463,-0.066,0.043,-0.809
464,-0.180,0.242,-1.449
465,0.578,-0.172,-0.562
466,1.105,-0.090,-0.773
467,0.633,-0.043,-1.738
468,0.605,0.145,-0.836
469,0.887,-0.055,-0.543
470,0.324,0.180,-0.914
471,0.480,0.086,-0.910
472,1.199,-0.117,-0.719
473,0.676,0.047,-1.016
474,0.473,-0.094,-1.332
475,0.648,0.184,-0.832
476,0.531,0.109,-0.879
477,0.637,0.152,-0.891
478,1.023,-0.055,-0.785
479,1.094,-0.180,-0.828
480,0.598,0.086,-0.898
481,0.332,0.074,-1.125
482,0.363,0.273,-0.945
483,0.148,-0.078,-0.879
484,0.512,-0.020,-0.973
485,0.754,0.055,-0.871
486,0.633,0.098,-0.957
487,0.875,0.031,-1.109
488,0.688,0.023,-0.793
489,0.461,-0.039,-0.891
490,0.668,0.027,-1.117
491,0.809,0.047,-0.859
492,0.664,-0.141,-0.957
493,0.625,0.117,-1.070
494,0.703,-0.062,-0.953
495,0.895,-0.004,-0.879
496,0.777,-0.016,-1.184
497,0.672,-0.117,-1.012
498,0.707,-0.016,-0.855
499,0.434,-0.074,-1.188
500,0.609,0.141,-1.020
501,0.809,0.023,-0.914
502,0.363,0.035,-0.859
503,0.309,0.172,-0.926
504,0.840,0.008,-1.043
505,0.578,0.031,-0.895
506,0.586,0.000,-1.059
507,0.668,-0.070,-0.828
508,0.199,0.152,-0.641
509,0.172,0.191,-1.016
510,0.973,-0.012,-0.910
511,0.977,-0.121,-0.895
512,0.656,-0.016,-1.141
513,0.508,0.059,-0.668
514,0.461,0.113,-0.602
515,0.418,0.055,-1.227
516,0.863,0.051,-1.109
517,0.758,-0.023,-0.824
518,0.219,0.070,-1.113
519,0.496,0.023,-1.141
