Sample,X,Y,Z
0,0.109,0.035,-0.562
1,0.043,0.012,-0.930
2,0.027,0.020,-0.945
3,0.027,0.012,-0.965
4,0.016,0.000,-0.949
5,0.059,0.023,-0.949
6,0.059,0.020,-0.945
7,0.074,0.016,-0.949
8,0.055,0.000,-0.949
9,0.012,0.020,-0.945
10,-0.004,0.016,-0.957
11,0.055,0.051,-0.934
12,0.066,-0.004,-0.961
13,0.082,0.004,-0.941
14,0.059,0.008,-0.949
15,0.000,0.039,-0.953
16,-0.012,0.031,-0.957
17,0.047,0.012,-0.930
18,0.086,-0.008,-0.961
19,0.086,0.020,-0.965
20,0.027,0.016,-0.938
21,0.004,0.035,-0.938
22,0.016,0.031,-0.965
23,0.012,-0.012,-0.945
24,0.051,0.031,-0.969
25,0.094,0.043,-0.957
26,0.055,0.004,-0.945
27,0.027,0.020,-0.945
28,0.027,-0.023,-0.980
29,0.012,0.020,-0.945
30,0.043,0.008,-0.934
31,0.059,0.035,-0.965
32,0.082,0.000,-0.941
33,0.066,0.016,-0.945
34,0.020,0.023,-0.973
35,0.000,0.000,-0.945
36,0.047,0.027,-0.938
37,0.047,-0.004,-0.961
38,0.090,0.008,-0.941
39,0.074,0.008,-0.949
40,0.027,0.047,-0.957
41,-0.008,0.027,-0.949
42,0.012,0.016,-0.941
43,0.082,-0.008,-0.961
44,0.117,0.027,-0.957
45,0.074,0.000,-0.953
46,0.027,0.023,-0.941
47,0.004,0.039,-0.961
48,-0.020,0.023,-0.957
49,0.070,0.020,-0.934
50,0.105,0.023,-0.953
51,0.074,0.039,-0.949
52,0.031,0.020,-0.949
53,-0.012,0.035,-0.945
54,-0.004,0.012,-0.961
55,0.066,0.027,-0.938
56,0.066,0.004,-0.949
57,0.074,0.016,-0.961
58,0.055,0.016,-0.953
59,0.012,0.016,-0.949
60,0.012,0.020,-0.957
61,0.059,0.020,-0.934
62,0.070,0.008,-0.961
63,0.090,0.004,-0.953
64,0.047,0.012,-0.934
65,0.020,0.035,-0.945
66,0.008,0.031,-0.957
67,0.020,0.008,-0.941
68,0.055,0.012,-0.961
69,0.090,0.027,-0.949
70,0.059,0.004,-0.934
71,0.016,0.031,-0.961
72,-0.004,0.020,-0.973
73,0.000,-0.016,-0.941
74,0.047,-0.004,-0.965
75,0.078,0.008,-0.953
76,0.086,-0.020,-0.965
77,0.055,0.027,-0.965
78,0.008,0.012,-0.953
79,-0.012,0.016,-0.949
80,0.062,0.043,-0.945
81,0.066,-0.016,-0.953
82,0.078,0.012,-0.953
83,0.043,0.008,-0.953
84,0.012,0.047,-0.961
85,0.008,0.023,-0.949
86,0.020,0.023,-0.949
87,0.078,-0.012,-0.973
88,0.082,0.020,-0.941
89,0.047,0.000,-0.941
90,0.020,0.023,-0.934
91,0.012,0.098,-0.977
92,0.008,0.273,-1.117
93,0.047,0.281,-1.172
94,0.051,0.172,-1.035
95,0.113,0.098,-0.945
96,0.074,0.156,-0.906
97,0.113,0.344,-1.004
98,0.113,0.344,-1.004
99,0.172,0.586,-1.176
100,0.121,0.660,-1.180
101,0.059,0.543,-1.055
102,0.023,0.480,-0.875
103,-0.016,0.508,-0.832
104,-0.020,0.602,-0.848
105,0.023,0.652,-0.910
106,0.047,0.703,-0.855
107,-0.035,0.637,-0.734
108,-0.035,0.617,-0.641
109,-0.043,0.664,-0.691
110,0.043,0.781,-0.875
111,0.172,0.754,-0.996
112,0.156,0.727,-0.945
113,0.094,0.668,-0.855
114,0.070,0.562,-0.723
115,-0.039,0.578,-0.719
116,0.027,0.793,-1.086
117,0.156,0.938,-1.398
118,0.078,0.832,-1.379
119,-0.105,0.410,-1.027
120,-0.246,0.199,-0.578
121,-0.070,0.484,-0.730
122,0.219,0.797,-1.281
123,0.391,0.836,-1.480
124,0.289,0.488,-1.168
125,0.020,0.512,-0.852
126,-0.191,0.559,-0.820
127,-0.191,0.449,-0.672
128,-0.148,0.551,-0.848
129,-0.074,0.766,-1.223
130,0.086,0.750,-1.074
131,0.316,0.738,-0.965
132,0.379,0.719,-0.988
133,0.031,0.449,-0.602
134,-0.273,0.359,-0.383
135,-0.156,0.949,-0.922
136,0.234,0.859,-1.383
137,0.477,0.715,-1.004
138,0.438,0.820,-1.223
139,-0.328,0.562,-0.637
140,-0.707,0.820,-0.281
141,-0.219,0.797,-1.215
142,0.219,0.727,-1.051
143,0.520,0.371,-1.176
144,0.359,0.684,-1.133
145,-0.109,0.809,-0.879
