Sample,X,Y,Z
209,0.035,0.523,-0.941
210,0.168,1.047,-1.680
211,0.129,-0.473,-0.645
212,0.016,1.031,-0.188
213,-0.227,0.094,-1.852
214,0.055,0.797,-0.375
215,0.633,1.113,-1.289
216,0.238,0.586,-1.719
217,0.094,0.438,0.125
218,0.086,0.277,-0.754
219,-0.590,1.051,-1.273
220,-0.344,0.551,-0.582
221,0.523,0.539,-0.957
222,-0.031,0.555,-1.398
223,0.184,0.492,-0.773
224,0.043,1.039,-0.660
225,-0.668,0.703,-1.270
226,0.020,0.652,-0.711
227,0.727,0.410,-0.777
228,0.461,1.230,-1.453
229,-0.105,0.699,-1.324
230,-0.168,0.613,-0.406
231,-0.293,0.441,-0.809
232,0.102,0.777,-0.859
233,0.629,0.430,-0.855
234,-0.016,0.703,-1.016
235,-0.219,0.500,-1.035
236,-0.766,0.609,-0.395
237,-0.375,0.887,-1.172
238,0.500,0.352,-1.602
239,0.977,0.859,-0.969
240,0.465,0.055,-1.254
241,-0.328,0.801,-0.297
242,-0.375,1.250,-0.973
243,0.137,0.293,-1.527
244,0.281,0.512,-0.688
245,0.066,0.516,-1.184
246,-0.660,0.930,-0.824
247,-0.805,0.516,-0.672
248,0.129,0.746,-1.250
249,0.195,0.723,-1.059
250,0.516,0.512,-0.785
251,0.719,0.363,-1.191
252,-0.051,0.527,-0.711
253,-0.070,0.453,-0.801
254,0.125,1.262,-1.066
255,-0.047,0.719,-1.320
256,-0.109,0.832,-0.613
257,-0.363,0.273,-0.887
258,-0.734,0.672,-0.805
259,-0.078,0.879,-0.980
260,0.719,0.746,-1.391
261,0.449,0.719,-0.832
262,-0.047,0.363,-0.758
263,-0.203,0.422,-0.777
264,-0.332,0.969,-0.801
265,0.629,0.699,-1.355
266,0.629,0.699,-1.355
267,0.602,0.652,-0.875
268,0.469,0.320,-0.953
269,-0.590,0.676,-0.645
270,-0.668,0.555,-0.691
271,-0.379,0.703,-0.977
272,-0.242,0.961,-1.141
273,0.891,0.590,-1.547
274,0.777,-0.480,-0.590
275,-0.711,0.551,-0.508
276,-0.098,1.199,-1.684
277,0.059,0.273,-0.523
278,0.547,0.277,-0.211
279,0.180,0.449,-1.777
280,0.062,0.648,-0.871
281,-0.258,0.773,-0.719
282,-0.883,1.430,-1.816
283,0.512,0.590,-1.410
284,0.781,-0.516,0.262
285,-0.129,0.715,-0.793
286,-0.422,1.398,-1.832
287,0.359,0.660,-0.371
288,-0.379,0.395,-0.832
289,-0.254,1.055,-1.691
290,1.035,0.168,-0.539
291,0.168,-0.117,-0.008
292,-0.902,1.465,-1.477
293,-0.090,1.055,-1.336
294,-0.164,0.094,0.402
295,-0.941,0.832,-1.328
296,0.961,0.410,-1.625
297,0.824,-0.090,0.781
298,-1.371,0.801,-0.914
299,0.398,0.551,-1.855
300,0.504,-0.449,0.922
301,-0.367,1.453,-0.609
302,1.152,0.332,-1.992
303,0.379,0.148,1.062
304,-1.129,0.137,-0.152
305,-0.090,0.934,-1.992
306,-0.234,0.457,0.414
307,-0.730,1.383,-0.371
308,0.684,0.723,-1.992
309,0.258,-0.023,0.676
310,-0.004,0.305,-0.023
311,0.766,0.629,-1.938
312,-0.492,0.426,1.027
313,-0.109,0.344,-0.344
314,0.633,0.574,-1.875
315,-0.930,0.656,0.504
316,0.434,0.215,-1.340
317,0.840,-0.188,-1.301
318,-0.457,1.137,0.855
319,0.664,-0.055,-1.707
320,-0.246,0.801,-0.090
321,-0.566,1.148,-0.410
322,0.727,-0.605,-1.945
323,-0.473,0.316,0.691
324,0.277,0.273,-0.766
325,0.555,-0.848,-1.586
326,-0.434,1.016,1.051
327,0.770,-0.137,-1.656
328,-0.461,0.168,-0.934
329,-0.887,0.438,-0.363
330,0.797,-0.328,-1.992
331,-0.551,0.445,-0.211
332,-0.301,-0.512,-1.141
333,0.422,-0.191,-1.414
334,-0.773,0.453,0.258
335,0.777,-0.586,-1.668
336,0.359,-0.020,-1.070
337,-0.730,0.266,-0.191
338,0.938,-0.758,-1.715
339,0.195,0.047,-0.441
340,0.199,0.242,-1.020
341,0.934,-1.004,-1.398
342,-1.246,0.812,0.176
343,-0.336,-0.266,-1.684
344,0.074,-0.566,-0.449
345,-0.395,0.227,-0.559
346,1.109,-0.617,-1.980
347,-0.023,-0.047,0.488
348,-0.934,0.680,-0.887
349,0.129,-0.316,-1.609
350,-1.004,0.266,0.789
351,1.082,-0.430,-1.570
352,1.121,-0.973,-0.957
353,-0.797,1.125,0.703
354,0.383,-0.430,-1.957
355,-1.332,0.371,0.023
356,-0.672,0.246,-0.492
357,1.723,-1.027,-1.840
358,0.164,-0.012,0.660
359,1.254,-0.336,-1.402
360,0.172,-0.668,-0.621
361,-1.855,0.746,1.152
362,0.211,-1.086,-1.906
363,0.078,-1.031,-0.141
364,0.672,-0.602,-0.617
365,1.504,-1.586,-1.859
366,-1.309,0.090,0.785
367,-0.957,0.160,-1.262
368,-0.293,-1.090,-1.258
369,-0.879,-0.320,0.211
370,1.441,-1.016,-1.992
371,0.898,-1.598,-0.535
372,-0.938,0.305,0.352
373,0.734,-1.191,-1.992
374,-0.871,-0.418,0.477
375,-0.562,0.016,-0.762
376,1.418,-1.469,-1.934
377,-0.172,-1.074,0.695
378,-0.090,-0.086,-1.102
379,0.453,-0.523,-1.684
380,-1.039,0.039,1.160
381,0.387,-1.043,-1.324
382,0.672,-0.449,-1.324
383,-0.184,-0.379,0.461
384,0.008,-0.574,-1.664
385,-0.047,0.062,-0.801
386,-0.309,-0.996,0.508
387,-0.137,0.105,-1.285
388,0.277,-0.859,-1.281
389,-0.594,-0.242,0.707
390,-0.570,0.078,-1.492
391,0.402,-1.031,-1.410
392,-0.215,-0.582,1.203
393,0.113,-0.191,-1.582
394,0.500,-0.809,-1.250
395,-0.082,-1.023,1.031
396,-0.387,-0.043,-1.527
397,0.301,-0.539,-1.734
398,0.332,-1.574,0.406
399,-0.008,-0.133,-1.195
400,0.551,-0.852,-1.848
401,0.262,-1.043,0.629
402,-0.426,-0.484,-1.105
403,0.090,-0.645,-1.926
404,0.129,-0.215,0.332
405,-0.066,-1.270,-1.273
406,-0.012,-0.566,-1.727
407,0.367,-0.703,-0.160
408,0.340,-0.887,-0.836
409,-0.480,-0.043,-1.500
410,-0.090,-0.273,-0.812
411,0.180,-1.137,-0.074
412,-0.680,-0.051,-0.980
413,0.469,-0.223,-1.762
414,0.281,-0.836,-0.086
415,-0.184,-0.062,-0.375
416,-0.133,-0.566,-1.531
417,-0.078,-0.195,0.324
418,0.043,-0.820,-0.723
419,-0.188,-0.336,-1.477
420,0.070,-0.336,-0.449
421,0.113,-0.637,-0.680
422,0.211,-0.434,-1.590
423,0.180,-0.352,-1.039
424,0.461,-1.145,-0.801
425,-0.227,-0.672,-0.816
426,0.176,-0.398,-1.316
427,-0.039,-0.734,-1.035
428,0.184,-0.211,-1.148
429,-0.035,-1.113,-1.902
430,-0.129,-0.754,-0.551
431,-0.070,-0.816,-0.645
432,-0.473,-0.410,-1.043
433,0.418,-0.129,-1.441
434,0.734,-1.324,-1.535
435,-0.156,-0.234,-0.418
436,0.297,-0.754,-1.488
437,-0.375,-0.582,-0.574
438,-0.191,-0.410,-0.434
439,0.492,-0.461,-1.355
440,-0.352,-0.301,-0.266
441,-0.340,-1.203,-0.793
442,-0.207,0.180,-0.781
443,-0.277,-0.363,-1.070
444,0.449,-0.699,-0.949
445,0.285,-0.781,-0.828
446,0.188,-0.859,-0.512
447,0.047,0.117,-0.395
448,0.078,-0.648,-1.715
449,-0.047,-0.586,-0.559
450,0.199,-0.191,-0.645
451,-0.320,-1.219,-1.758
452,-0.660,0.051,-0.426
453,0.035,-0.461,-1.609
454,-0.129,-0.277,-1.332
455,0.469,-0.629,-0.938
456,0.770,-1.414,-1.281
457,0.105,-0.316,-0.344
458,-0.184,-0.652,-1.219
459,-0.188,-0.848,-1.004
460,-0.113,-0.242,-0.535
461,0.320,-0.723,-1.422
462,-0.172,-0.867,-0.789
463,-0.156,-0.293,-0.695
464,0.121,-0.512,-1.621
465,-0.164,-0.602,-0.648
466,0.309,-0.895,-0.934
467,0.293,-0.738,-1.059
468,-0.281,-0.055,-0.406
469,0.312,-1.133,-1.234
470,0.062,-0.539,-0.246
471,-0.129,-0.754,-0.730
472,-0.086,-0.547,-1.242
473,-0.379,-0.312,-0.816
474,-0.363,-0.688,-1.270
475,0.125,-0.301,-1.082
476,0.398,-0.418,-1.336
477,0.371,-0.684,-1.324
478,0.367,-0.371,-0.773
479,0.137,-0.770,-0.926
480,-0.320,-0.648,-0.449
481,0.121,-0.473,-0.855
482,0.121,-0.473,-0.855
483,0.207,-0.512,-1.195
484,0.180,-0.477,-0.906
485,-0.285,-1.000,-1.129
486,-0.445,-0.559,-0.508
487,-0.480,-0.438,-0.883
488,-0.008,-0.945,-1.207
489,0.293,-0.805,-0.527
490,0.738,-0.531,-1.191
491,0.270,-0.359,-1.391
492,-0.492,-0.836,-0.582
493,0.121,-0.664,-0.719
494,0.105,-0.609,-1.129
495,-0.047,-0.953,-1.023
496,0.324,-0.402,-0.895
497,0.090,-0.395,-1.324
498,-0.684,-0.543,-1.133
499,-0.230,-0.539,-1.000
500,0.195,-0.730,-0.992
501,0.039,-0.711,-0.707
502,0.191,-0.758,-1.000
503,0.312,-0.543,-0.789
504,-0.090,-0.332,-0.594
505,-0.039,-0.660,-1.199
506,-0.039,-0.660,-1.199
507,0.172,-0.855,-0.922
508,0.129,-0.379,-0.777
509,0.020,-0.418,-1.508
510,-0.188,-0.742,-0.844
511,0.105,-0.543,-0.551
512,0.184,-0.691,-1.320
513,-0.238,-0.164,-0.938
514,-0.066,-0.820,-1.062
515,-0.219,-0.766,-0.523
516,-0.262,-0.434,-0.750
517,0.371,-0.684,-1.504
518,0.359,-0.246,-0.766
519,0.160,-0.512,-1.152
520,0.246,-0.723,-1.012
521,-0.121,-0.629,-0.406
522,-0.043,-0.625,-1.145
523,0.176,-0.559,-1.047
524,-0.141,-0.738,-0.715
525,-0.207,-0.527,-1.180
526,0.004,-0.535,-0.957
527,0.090,-0.715,-0.801
528,0.078,-0.652,-1.305
529,0.211,-0.738,-0.941
530,0.082,-0.855,-0.496
531,-0.070,-0.422,-1.262
532,0.043,-0.543,-1.355
533,0.125,-0.582,-0.590
534,0.121,-0.656,-1.141
535,-0.066,-0.727,-1.016
536,0.000,-0.574,-0.484
537,0.156,-0.461,-1.242
538,-0.277,-0.285,-1.199
539,-0.246,-0.387,-0.879
540,0.277,-0.656,-1.152
541,0.008,-0.590,-0.781
542,0.023,-0.496,-0.887
543,0.320,-0.457,-1.012
544,0.023,-0.367,-0.559
545,0.230,-0.617,-0.977
546,0.172,-0.648,-0.898
547,-0.363,-0.426,-0.598
548,-0.145,-0.559,-1.145
549,-0.074,-0.684,-0.770
550,0.070,-0.582,-0.723
551,0.441,-0.656,-1.387
552,-0.160,-0.602,-0.723
553,-0.293,-0.496,-0.781
554,-0.023,-0.625,-1.273
555,-0.020,-0.543,-0.848
556,0.523,-0.836,-1.234
557,0.383,-0.672,-1.148
558,-0.172,-0.410,-0.832
559,-0.332,-0.535,-1.066
560,-0.445,-0.438,-0.910
561,0.102,-0.875,-1.094
562,0.520,-0.793,-1.059
563,0.359,-0.293,-1.238
564,0.148,-0.270,-1.391
565,-0.238,-0.484,-0.668
566,-0.293,-0.855,-0.484
567,-0.012,-0.777,-0.695
568,0.145,-0.449,-0.875
569,0.332,-0.184,-1.234
570,0.152,-0.199,-1.242
571,-0.266,-0.398,-0.875
572,-0.191,-0.516,-0.730
573,-0.098,-0.625,-0.645
574,0.059,-0.543,-0.727
575,0.125,-0.340,-0.934
576,0.047,-0.043,-1.102
577,-0.062,-0.270,-1.234
578,-0.047,-0.395,-0.984
579,0.098,-0.504,-0.859
580,0.031,-0.250,-0.824
581,0.004,-0.051,-1.082
582,0.160,-0.082,-1.195
583,0.180,0.051,-1.168
584,0.102,-0.082,-1.508
585,-0.023,0.082,-1.090
586,-0.066,0.086,-0.777
587,-0.035,0.043,-0.988
588,-0.039,0.086,-0.906
589,0.074,0.082,-0.875
590,0.098,0.227,-1.078
591,-0.055,0.012,-0.938
592,0.062,-0.129,-0.535
593,0.039,-0.031,-0.535
594,-0.160,0.031,-0.652
595,-0.012,0.082,-0.707
596,0.062,0.074,-0.848
597,-0.012,0.043,-0.926
598,0.016,0.000,-0.898
599,0.082,0.094,-0.902
600,-0.043,0.133,-1.016
601,-0.051,0.062,-1.059
602,-0.012,-0.043,-0.996
603,0.043,0.047,-1.090
604,0.152,-0.031,-1.219
605,0.121,-0.090,-1.000
606,0.023,-0.062,-1.004
607,-0.047,-0.086,-1.102
608,-0.066,-0.059,-0.922
609,0.023,-0.004,-1.098
610,0.082,-0.031,-1.199
611,0.105,-0.066,-0.875
612,0.051,0.035,-0.961
613,0.000,0.035,-1.086
614,0.000,0.062,-0.805
