Sample,X,Y,Z
0,0.047,0.039,-0.582
1,0.027,0.016,-0.949
2,0.027,0.016,-0.949
3,0.031,0.016,-0.961
4,0.039,0.012,-0.957
5,0.012,0.008,-0.949
6,0.000,0.016,-0.957
7,0.016,0.020,-0.945
8,0.039,0.012,-0.953
9,0.031,0.004,-0.953
10,0.020,0.012,-0.957
11,0.004,0.016,-0.949
12,0.016,0.020,-0.953
13,0.043,0.012,-0.961
14,0.035,0.012,-0.945
15,0.023,0.016,-0.941
16,0.012,0.012,-0.945
17,0.020,0.016,-0.957
18,0.031,0.012,-0.961
19,0.039,0.012,-0.957
20,0.012,0.020,-0.961
21,0.012,0.012,-0.945
22,0.031,0.023,-0.945
23,0.031,0.004,-0.957
24,0.027,0.000,-0.953
25,0.012,0.035,-0.945
26,0.027,0.012,-0.953
27,0.027,0.020,-0.957
28,0.027,0.008,-0.953
29,0.012,0.039,-0.949
30,0.020,0.000,-0.969
31,0.027,0.020,-0.957
32,0.031,0.008,-0.953
33,0.027,0.000,-0.941
34,0.027,0.020,-0.941
35,0.023,0.020,-0.965
36,0.035,0.004,-0.961
37,0.035,0.012,-0.949
38,0.016,0.008,-0.945
39,0.016,0.012,-0.949
40,0.023,0.023,-0.961
41,0.027,0.016,-0.953
42,0.031,0.012,-0.957
43,0.012,0.004,-0.945
44,0.020,0.000,-0.938
45,0.043,0.016,-0.961
46,0.035,0.027,-0.973
47,0.020,0.016,-0.953
48,-0.008,0.027,-0.930
49,0.020,0.051,-0.930
50,0.039,0.027,-0.957
51,0.059,0.039,-0.953
52,0.035,0.016,-0.973
53,-0.012,-0.004,-0.953
54,0.000,0.016,-0.945
55,0.059,0.020,-0.969
56,0.070,0.008,-0.969
57,0.059,-0.004,-0.941
58,0.004,0.035,-0.934
59,-0.051,0.035,-0.945
60,-0.016,0.020,-0.953
61,0.074,-0.008,-0.973
62,0.102,-0.023,-0.961
63,0.059,0.020,-0.953
64,-0.012,0.051,-0.938
65,-0.047,0.031,-0.922
66,0.020,0.000,-0.953
67,0.082,-0.004,-0.988
68,0.078,0.012,-0.977
69,0.000,0.027,-0.961
70,-0.039,0.031,-0.945
71,-0.020,0.012,-0.930
72,0.031,-0.004,-0.934
73,0.086,-0.012,-0.977
74,0.035,0.012,-0.969
75,0.008,0.047,-0.949
