Sample,X,Y,Z
205,0.078,0.656,-1.195
206,-0.227,0.141,-0.629
207,-0.531,0.652,-0.426
208,-0.426,0.426,-1.102
209,0.266,1.316,-0.984
210,0.668,0.285,-1.285
211,0.516,0.617,-0.902
212,0.590,0.559,-1.133
213,-0.434,0.727,-0.668
214,-0.754,0.980,-0.484
215,-0.023,0.629,-1.238
216,0.473,0.527,-0.703
217,0.480,0.980,-0.922
218,0.480,0.980,-0.922
219,0.367,0.117,-1.426
220,-1.316,1.289,0.156
221,-0.805,0.527,-1.066
222,-0.684,0.660,-0.910
223,0.773,1.148,-1.035
224,1.301,-0.121,-1.934
225,0.562,0.777,-0.086
226,-0.078,0.648,-0.988
227,-0.527,0.875,-1.078
228,-0.285,0.938,-0.195
229,0.711,-0.137,-1.777
230,0.172,0.820,-1.156
231,-0.379,0.184,-0.965
232,-0.828,0.949,-0.641
233,-1.004,0.977,-1.090
234,0.375,0.082,-1.148
235,0.840,1.141,-0.664
236,0.457,0.102,-1.516
237,0.336,0.902,-0.645
238,0.352,0.035,-0.922
239,-0.039,1.020,-0.594
240,-0.262,0.312,-1.254
241,-0.391,0.711,-0.770
242,-0.391,0.742,-0.707
243,-0.074,0.367,-1.262
244,0.824,1.043,-1.012
245,-0.141,0.535,-1.074
246,-0.656,0.875,-0.859
247,-0.613,0.797,-0.879
248,-0.098,0.859,-0.773
249,0.805,0.750,-1.695
250,1.105,0.336,-1.484
251,0.414,0.566,-0.172
252,-0.617,0.805,-0.793
253,-0.906,1.504,-0.812
254,-0.082,0.410,-0.891
255,0.383,0.781,-1.074
256,0.500,0.211,-1.520
257,-0.387,0.277,-0.574
258,-0.594,0.996,-0.461
259,-1.039,1.062,-1.090
260,-0.148,0.285,-0.891
261,0.445,0.277,-0.707
262,1.453,0.383,-1.051
263,0.516,0.027,-1.066
264,-0.449,0.836,-0.555
265,-0.312,0.605,-0.895
266,-0.781,0.812,-0.910
267,-0.023,0.234,-1.059
268,0.625,0.332,-1.199
269,0.785,0.391,-1.242
270,-1.145,1.168,-1.336
271,-0.699,0.754,-1.273
272,0.113,0.984,-0.613
273,0.219,0.062,-1.355
274,0.594,0.867,-1.242
275,0.973,0.520,-0.957
276,0.363,0.434,-0.676
277,-0.723,1.344,-1.277
278,0.207,0.672,-1.051
279,0.328,0.828,-0.105
280,-1.234,0.625,-1.230
281,0.016,0.816,-1.090
282,0.348,0.648,-0.145
283,-0.793,0.613,-0.832
284,0.355,0.602,-1.441
285,1.000,0.617,-0.219
286,-0.168,0.484,-0.449
287,-0.289,0.898,-1.438
288,0.617,0.012,-0.176
289,-0.488,-0.020,-0.043
290,-0.488,-0.020,-0.043
291,-0.059,1.113,-1.844
292,0.586,0.184,-1.262
293,-1.121,0.438,-0.223
294,-0.477,1.180,-1.805
295,0.711,0.109,-1.465
296,-0.770,0.453,-0.215
297,0.504,0.941,-1.848
298,0.617,-0.359,-1.227
299,-0.734,1.012,-0.051
300,0.918,0.613,-1.988
301,0.613,0.730,-1.031
302,-0.887,0.586,-0.281
303,0.770,0.859,-1.574
304,-0.039,0.215,-0.555
305,-0.859,1.172,-0.461
306,0.695,0.773,-1.852
307,-1.141,0.727,-0.586
308,-0.738,1.184,-0.438
309,0.840,0.445,-1.031
310,-0.230,-0.145,-0.246
311,0.668,0.750,-0.445
312,0.309,1.074,-0.812
313,-1.156,-0.051,-0.242
314,0.062,-0.461,-0.078
315,0.051,0.523,-0.242
316,0.023,-0.578,-1.211
317,0.941,-0.590,-0.809
318,-0.344,-0.531,-0.199
319,-0.555,-0.379,-0.918
320,-0.270,-0.586,-1.070
321,0.246,0.086,-1.422
322,1.027,-0.633,-1.992
323,0.172,-0.871,-1.230
324,-0.273,-1.199,-1.176
325,-0.137,-0.328,-1.273
326,-0.508,-0.293,-1.406
327,0.770,0.664,-1.961
328,0.781,-0.641,-1.934
329,-0.664,-0.105,-0.723
330,0.145,0.297,-1.605
331,-0.426,-0.645,-1.145
332,-0.254,0.688,0.012
333,0.816,0.195,-1.785
334,-0.367,0.375,-0.348
335,0.598,0.578,-0.387
336,0.035,0.863,-1.070
337,-0.449,0.773,0.250
338,0.305,-0.059,0.035
339,-0.234,0.383,0.184
340,-0.781,0.668,0.348
341,0.164,0.250,-0.887
342,-0.352,0.879,-0.203
343,0.344,0.219,-0.625
344,0.430,-0.027,-0.766
345,-0.246,-0.062,0.094
346,0.027,0.242,-0.746
347,-0.406,-0.305,-1.426
348,-0.637,0.117,-0.918
349,0.516,-0.617,-1.758
350,-0.250,-0.617,-1.555
351,0.039,-0.387,-1.648
352,0.180,0.500,-1.840
353,-0.285,-0.711,-1.750
354,-0.262,-0.590,-1.277
355,-0.066,-0.520,-1.906
356,0.062,-0.047,-1.867
357,0.484,-0.570,-1.688
358,0.371,-0.148,-1.434
359,0.340,-0.387,-1.316
360,0.051,0.141,-0.441
361,-0.180,-0.246,-0.480
362,-0.180,-0.246,-0.480
363,0.289,0.277,-0.848
364,0.211,-0.398,-0.598
365,0.547,0.391,-0.402
366,0.762,-0.328,-1.125
367,-1.152,0.418,0.629
368,-0.059,0.438,-0.258
369,-0.570,-0.160,-0.602
370,-0.789,0.777,0.203
371,0.945,0.027,-1.312
372,0.484,-0.312,-0.375
373,-0.238,1.191,-0.363
374,0.176,0.129,-1.785
375,-1.203,0.445,0.469
376,-0.020,-0.352,-1.004
377,0.363,-0.301,-1.469
378,0.246,-0.266,-0.422
379,0.750,0.281,-1.809
380,-0.777,0.590,-1.398
381,-0.762,0.230,-1.172
382,0.309,-0.535,-1.773
383,-0.293,0.086,-0.992
384,0.824,-0.434,-1.684
385,-0.238,-0.617,-1.051
386,-1.027,0.719,-0.422
387,0.664,-0.676,-1.969
388,-0.184,-0.484,-0.543
389,0.652,0.461,-0.988
390,1.191,-0.793,-1.539
391,-1.059,0.281,0.637
392,-0.277,0.008,-1.305
393,-0.305,-0.441,-0.734
394,-0.188,-0.172,0.133
395,1.395,-0.469,-1.824
396,-0.250,0.457,-0.332
397,-0.652,0.438,-0.418
398,-0.184,-0.605,-1.219
399,-0.867,-0.320,0.703
400,0.727,-1.094,-0.930
401,0.633,-0.719,-1.172
402,-0.953,-0.082,-0.312
403,-0.262,-0.199,-1.484
404,-0.582,-1.055,-0.754
405,0.289,-0.738,-0.328
406,1.668,-1.688,-1.555
407,0.086,-1.434,-0.336
408,-0.176,-0.395,-1.070
409,-1.203,-0.660,-1.789
410,-1.090,-0.164,-0.953
411,1.352,-1.070,-1.961
412,0.992,-1.582,-1.266
413,0.625,-0.613,-0.449
414,0.145,-1.180,-1.738
415,-1.734,0.574,0.090
416,-0.004,0.203,-1.656
