Sample,X,Y,Z
0,0.031,0.039,-0.562
1,0.066,0.035,-0.938
2,0.078,0.020,-0.945
3,0.051,-0.004,-0.961
4,0.023,0.027,-0.965
5,0.004,0.016,-0.949
6,0.012,0.020,-0.926
7,0.070,0.027,-0.945
8,0.055,0.012,-0.957
9,0.047,0.012,-0.973
10,0.012,0.020,-0.973
11,0.004,0.012,-0.945
12,0.035,0.039,-0.930
13,0.062,0.016,-0.945
14,0.074,0.016,-0.965
15,0.043,0.012,-0.969
16,0.012,0.004,-0.953
17,0.020,0.035,-0.957
18,0.039,0.020,-0.938
19,0.047,0.000,-0.934
20,0.086,0.035,-0.965
21,0.020,0.012,-0.961
22,0.008,0.020,-0.945
23,0.020,0.023,-0.949
24,0.047,0.027,-0.938
25,0.082,0.039,-0.945
26,0.082,0.039,-0.945
27,0.055,0.047,-0.973
28,0.020,0.023,-0.969
29,0.004,0.027,-0.941
30,0.004,0.008,-0.938
31,0.066,0.043,-0.934
32,0.082,0.004,-0.949
33,0.055,0.008,-0.965
34,0.012,0.027,-0.977
35,-0.008,0.023,-0.949
36,0.012,0.027,-0.934
37,0.066,0.012,-0.930
38,0.066,0.004,-0.957
39,0.051,0.027,-0.977
40,0.016,0.000,-0.969
41,0.000,0.020,-0.941
42,0.031,0.043,-0.938
43,0.059,0.020,-0.938
44,0.074,0.016,-0.953
45,0.043,0.012,-0.969
46,0.000,0.012,-0.957
47,0.016,0.039,-0.949
48,0.035,0.023,-0.938
49,0.059,-0.004,-0.938
50,0.078,0.035,-0.965
51,0.023,0.023,-0.969
52,0.008,0.004,-0.949
53,0.016,0.059,-0.934
54,0.062,0.012,-0.930
55,0.078,0.031,-0.945
56,0.062,0.004,-0.961
57,0.004,0.023,-0.965
58,0.020,0.027,-0.961
59,0.008,0.012,-0.922
60,0.078,0.031,-0.934
61,0.066,0.020,-0.949
62,0.047,0.012,-0.969
63,0.023,0.016,-0.961
64,0.004,0.020,-0.949
65,0.027,0.027,-0.941
66,0.070,0.008,-0.922
67,0.062,0.008,-0.957
68,0.055,0.031,-0.965
69,-0.004,-0.004,-0.957
70,0.004,0.023,-0.949
71,0.055,0.031,-0.945
72,0.047,0.008,-0.934
73,0.074,0.027,-0.953
74,0.039,0.004,-0.992
75,-0.016,0.008,-0.945
76,0.016,0.023,-0.938
77,0.051,0.012,-0.945
78,0.062,0.023,-0.961
79,0.074,0.016,-0.961
80,0.016,0.008,-0.957
81,0.016,0.031,-0.949
82,0.004,0.020,-0.938
83,0.055,0.027,-0.945
84,0.074,0.008,-0.953
85,0.039,0.000,-0.949
86,0.051,0.039,-1.020
87,0.137,-0.082,-1.066
88,-0.203,-0.109,-0.918
89,-0.879,0.035,-0.848
90,-1.660,0.133,-0.805
91,-1.734,0.238,-0.895
92,-1.094,0.090,-1.176
93,-0.617,-0.020,-1.035
94,-0.570,0.074,-0.832
95,-1.066,0.105,-0.691
96,-1.684,0.113,-0.469
97,-1.801,0.012,-0.715
98,-1.184,-0.055,-1.258
99,-0.348,-0.199,-1.438
100,0.188,-0.203,-1.391
101,0.023,-0.090,-1.141
102,-0.445,0.102,-0.625
103,-1.035,0.070,-0.430
104,-0.887,0.078,-0.738
105,-0.004,0.070,-1.211
106,0.945,-0.148,-1.582
107,1.004,-0.203,-1.465
108,-0.020,0.109,-0.906
109,-1.055,0.359,-0.602
110,-1.164,0.281,-0.629
111,-0.660,-0.059,-0.938
112,0.094,-0.180,-1.211
113,0.500,-0.215,-1.211
114,-0.062,-0.172,-0.918
115,-1.496,0.156,-0.539
116,-1.496,0.156,-0.539
117,-1.836,0.449,-0.344
118,-1.051,0.191,-0.469
119,-0.746,-0.145,-0.891
120,0.039,-0.008,-1.379
121,0.098,0.008,-1.008
122,-1.387,0.141,-0.707
123,-1.762,0.273,-1.230
124,-1.070,0.133,-0.852
125,-0.773,-0.176,-0.902
126,-0.258,-0.383,-1.660
127,-0.188,-0.012,-1.102
128,-0.562,0.098,-0.895
129,-0.883,-0.039,-1.004
130,-0.699,0.027,-0.586
131,0.008,-0.074,-0.910
132,0.082,-0.023,-1.176
133,-0.059,-0.074,-1.141
134,-0.219,0.027,-1.066
135,-0.707,0.211,-0.820
136,-0.770,0.055,-0.949
137,-0.469,0.109,-1.008
138,-0.172,-0.164,-0.906
139,-0.363,-0.074,-0.793
140,-0.531,0.242,-0.965
141,-0.508,0.105,-0.949
142,-0.605,0.043,-0.598
143,-0.918,0.066,-0.855
144,-0.773,0.156,-0.918
145,-0.648,0.055,-0.754
146,-0.617,0.137,-1.039
147,-0.652,0.070,-1.023
148,-0.723,-0.012,-0.703
149,-0.707,0.020,-1.082
150,-0.773,-0.156,-1.191
151,-0.758,-0.098,-0.875
152,-0.648,-0.047,-1.102
153,-0.832,0.070,-1.102
154,-0.656,0.078,-0.957
155,-0.078,-0.090,-1.070
156,-0.211,-0.109,-0.945
157,-0.367,-0.070,-0.977
158,-0.355,0.230,-0.844
159,-0.574,-0.008,-0.863
160,-0.531,0.008,-1.098
161,-0.383,0.039,-1.039
162,-0.605,-0.055,-0.973
163,-0.605,0.105,-0.953
164,-0.410,-0.164,-0.934
165,-0.355,0.066,-0.719
166,-0.633,0.145,-0.953
167,-0.594,0.168,-0.938
168,-0.680,0.078,-0.926
169,-0.461,0.035,-1.105
170,-0.461,0.035,-1.105
171,-0.414,0.047,-0.918
172,-0.477,-0.027,-0.832
173,-0.805,0.090,-0.715
174,-0.695,0.016,-0.766
175,-0.621,0.012,-0.836
176,-0.312,0.016,-1.125
177,-0.078,-0.102,-1.305
178,-0.730,-0.082,-0.840
179,-1.008,0.113,-0.957
180,-0.395,0.121,-1.164
181,-0.328,-0.227,-0.906
182,-0.477,-0.047,-0.977
183,-0.406,0.031,-1.023
184,-0.566,0.160,-0.781
185,-0.695,-0.012,-1.223
