Sample,X,Y,Z
209,0.340,0.594,-0.707
210,-0.070,0.605,-1.613
211,-0.461,0.824,-0.547
212,0.199,0.184,-1.117
213,-0.031,0.672,-1.125
214,0.070,0.555,-0.875
215,0.445,0.168,-0.879
216,0.059,1.180,-0.922
217,-0.066,0.375,-1.148
218,0.305,0.883,-0.504
219,-0.082,0.574,-1.438
220,-0.066,1.277,-1.262
221,-0.215,-0.047,-0.711
222,-0.227,0.484,-0.297
223,-0.008,0.785,-1.250
224,0.488,1.273,-1.328
225,0.652,0.758,-1.023
226,-0.344,0.555,-0.711
227,-0.199,1.066,-0.898
228,-0.086,0.012,-0.887
229,0.047,1.113,-0.156
230,0.559,0.363,-1.816
231,0.406,0.746,-0.691
232,-0.227,0.754,-0.352
233,-0.520,0.555,-1.488
234,-0.398,1.113,-0.348
235,0.375,-0.688,-0.680
236,0.828,0.695,-1.004
237,0.289,1.039,-1.539
238,-0.250,0.785,-1.090
239,-0.371,0.746,-0.859
240,-0.309,0.512,-1.207
241,0.324,0.461,-0.805
242,0.363,0.383,-1.016
243,0.070,0.758,-1.367
244,-0.129,0.453,-0.980
245,-0.398,1.273,-0.816
246,-0.207,0.609,-1.512
247,0.395,0.492,-0.805
248,0.770,0.160,-0.770
249,-0.180,0.637,-0.941
250,-0.418,1.109,-0.801
251,-0.207,0.898,-0.980
252,-0.031,0.512,-1.008
253,0.785,0.355,-1.004
254,0.371,0.680,-0.656
255,-0.598,0.547,-0.703
256,-0.512,0.734,-0.836
257,-0.137,1.203,-0.758
258,0.453,0.383,-1.207
259,0.504,0.555,-1.172
260,0.137,0.480,-0.848
261,-0.363,1.164,-0.801
262,-0.422,0.707,-1.051
263,0.430,0.270,-0.992
264,0.535,0.375,-0.844
265,0.879,1.121,-1.148
266,0.879,1.121,-1.148
267,-0.047,0.293,-1.430
268,-0.695,0.523,-0.277
269,-0.910,0.781,-0.816
270,0.004,0.074,-1.164
271,0.527,1.008,-0.645
272,0.441,0.777,-1.703
273,0.297,0.141,-0.918
274,0.215,0.242,-0.172
275,-0.707,0.289,-1.027
276,0.020,0.973,-0.652
277,0.566,0.809,-1.227
278,0.273,0.348,-1.195
279,-0.270,0.211,-0.797
280,0.508,-0.023,-0.977
281,-0.516,1.426,-0.480
282,-0.367,1.148,-1.695
283,0.363,0.727,-1.309
284,0.379,0.281,-0.242
285,-0.711,0.117,-1.297
286,0.156,1.402,-1.281
287,0.719,0.090,-0.816
288,-0.059,0.961,-0.578
289,-0.414,1.332,-1.781
290,0.477,-0.250,-0.652
291,0.238,0.574,0.434
292,-1.258,1.266,-1.879
293,0.359,0.855,-0.910
294,0.719,-0.027,0.762
295,-0.535,0.488,-1.586
296,0.695,0.730,-1.824
297,0.121,-0.457,1.086
298,-1.441,1.379,-0.309
299,0.055,0.773,-1.984
300,1.125,-0.586,1.023
301,-0.043,1.203,-0.508
302,0.602,0.949,-1.992
303,-0.051,0.016,0.895
304,-1.004,0.707,0.258
305,0.160,0.480,-1.992
306,0.500,0.422,0.770
307,-0.102,0.449,-0.297
308,0.500,0.602,-1.992
309,-0.594,-0.008,0.500
310,-0.938,1.363,-0.375
311,0.461,0.590,-1.992
312,0.297,0.273,0.809
313,0.520,0.523,-0.301
314,1.047,-0.141,-1.824
315,-0.711,0.137,1.074
316,-0.219,1.270,-0.855
317,0.859,0.008,-1.715
318,-0.727,1.152,0.703
319,0.801,-0.004,-1.621
320,0.367,-0.309,-0.426
321,-0.867,0.141,0.922
322,0.539,0.441,-1.895
323,-0.004,0.816,-0.625
324,-0.059,0.660,-0.531
325,1.125,-0.785,-1.895
326,-0.840,0.926,0.324
327,0.246,0.461,-1.270
328,-0.066,-0.645,-1.172
329,-0.523,0.285,-0.066
330,1.238,-0.754,-1.828
331,-0.219,0.297,0.133
332,-1.281,0.902,-1.219
333,0.668,0.238,-1.805
334,-1.316,-0.340,0.434
335,0.129,0.156,-1.324
336,1.301,-1.195,-1.234
337,-0.535,0.750,1.281
338,1.059,-0.160,-1.801
339,-0.281,0.223,-0.539
340,-0.879,0.328,-0.094
341,0.797,-0.836,-1.980
342,-0.406,0.113,-0.113
343,0.219,-0.469,-0.977
344,0.801,-0.281,-1.285
345,-1.145,0.793,0.348
346,0.332,-0.758,-1.719
347,-0.453,-0.082,-0.648
348,-0.738,0.699,-1.031
349,1.164,-1.340,-1.727
350,-0.238,0.039,0.988
351,0.648,0.176,-1.270
352,0.809,-0.945,-0.957
353,-1.691,1.125,0.809
354,0.652,-0.324,-1.961
355,0.074,-0.758,-0.160
356,-0.137,0.109,0.250
357,1.922,-1.336,-1.988
358,-0.422,0.352,0.949
359,-0.543,0.117,-0.867
360,0.059,-0.914,-1.660
361,-1.539,0.016,1.316
362,0.895,-0.969,-1.531
363,1.121,-1.211,-1.160
364,-0.156,0.387,0.559
365,1.188,-0.875,-1.941
366,-1.191,-0.148,-0.004
367,-1.066,-0.309,-0.293
368,0.766,-1.660,-1.703
369,-0.750,0.105,0.344
370,1.094,-0.945,-1.801
371,1.094,-0.793,-1.062
372,-1.355,0.059,0.297
373,0.062,-0.590,-1.934
374,-0.203,-1.051,0.098
375,-0.254,-0.348,-0.098
376,1.590,-1.203,-1.992
377,-0.137,-0.379,0.305
378,-0.641,-0.062,-0.836
379,-0.141,-0.715,-1.859
380,-0.172,-0.449,1.055
381,0.590,-1.207,-1.094
382,0.953,-0.441,-1.750
383,-0.340,-0.586,0.301
384,-0.766,0.082,-0.977
385,-0.238,-0.492,-1.977
386,-0.238,-0.492,-1.977
387,-0.324,-1.250,0.148
388,0.242,-0.094,-0.586
389,0.922,-0.938,-1.773
390,-0.117,-0.695,0.742
391,-0.945,0.176,-0.730
392,0.199,-0.273,-1.844
393,0.074,-0.980,0.035
394,0.277,-0.832,-1.152
395,1.086,-0.523,-1.805
396,-0.348,-0.879,0.859
397,-1.281,-0.285,-0.531
398,-0.309,0.023,-1.820
399,0.492,-0.926,-0.078
400,0.309,-0.922,-1.438
401,0.688,-0.656,-1.910
402,0.340,-0.848,0.438
403,-0.887,-0.824,-0.109
404,-0.055,0.285,-1.863
405,0.617,-1.160,-0.629
406,0.547,-0.340,-0.379
407,-0.215,-0.320,-1.992
408,-0.297,-0.895,-0.570
409,0.016,-0.621,0.383
410,0.020,-0.770,-1.945
411,0.418,-0.637,-0.555
412,0.574,-0.816,0.133
413,-0.547,-0.090,-1.742
414,-0.855,0.180,-1.199
415,0.527,-0.730,-0.629
416,0.594,-1.246,-1.355
417,-0.141,-0.320,-0.883
418,0.355,-0.898,-0.488
419,-0.625,0.016,-0.062
420,-0.410,-0.184,-1.559
421,0.336,-0.504,-1.207
422,0.570,-1.113,-0.379
423,-0.027,-0.598,-1.348
424,-0.133,-0.500,-1.148
425,-0.316,-0.695,-0.223
426,-0.102,-0.219,-0.863
427,0.035,-0.512,-1.441
428,0.727,-0.863,-0.777
429,0.914,-1.234,-1.016
430,0.254,-0.242,-1.211
431,-0.586,-1.066,-0.918
432,-0.789,0.277,-0.141
433,-0.234,-0.348,-1.594
434,0.137,-0.855,-1.504
435,0.746,-0.820,-0.996
436,0.453,-1.035,-1.398
437,-0.324,-0.062,-0.469
438,-0.332,-0.918,-0.770
439,0.297,0.312,-0.871
440,0.180,-0.578,-1.277
441,-0.086,-1.070,-0.633
442,0.324,-0.008,-0.969
443,-0.309,-0.812,-1.383
444,-0.797,-0.082,0.125
445,0.172,-0.629,-1.277
446,-0.043,-0.684,-0.738
447,0.105,-0.551,-0.469
448,0.949,-1.324,-1.586
449,-0.008,-0.160,-0.102
450,-0.539,-0.203,-1.113
451,-0.160,-0.605,-1.219
452,-0.164,-0.266,-0.410
453,0.164,-0.891,-1.754
454,0.367,-0.445,-1.027
455,0.273,-0.773,-0.750
456,0.250,-0.500,-1.391
457,-0.371,-0.410,-1.070
458,0.109,-1.160,-0.676
459,0.105,-0.754,-0.871
460,-0.023,-0.082,-1.562
461,0.273,-0.656,-1.223
462,-0.137,-0.641,-0.328
463,-0.047,-0.184,-1.520
464,-0.270,-0.715,-1.230
465,-0.086,-0.441,-0.086
466,0.590,-0.879,-1.547
467,0.035,-0.605,-0.762
468,0.270,-0.715,-0.430
469,0.453,-0.359,-1.223
470,-0.488,-0.406,-0.883
471,-0.289,-0.988,-0.465
472,0.340,-0.605,-0.609
473,-0.340,-0.633,-1.234
474,-0.223,-0.559,-0.934
475,0.082,-0.070,-0.914
476,-0.082,-0.684,-1.344
477,0.254,-0.508,-0.785
478,0.707,-0.805,-1.109
479,0.125,-0.875,-0.797
480,-0.094,-0.535,-0.504
481,0.188,-0.797,-1.297
482,-0.074,-0.234,-0.992
483,0.324,-0.676,-1.352
484,0.160,-0.664,-1.297
485,-0.672,-0.516,-1.035
486,-0.473,-0.629,-0.797
487,-0.172,-0.617,-0.746
488,-0.129,-0.332,-1.191
489,0.762,-0.711,-1.398
490,0.652,-0.852,-0.500
491,-0.027,-0.254,-0.691
492,-0.223,-0.730,-1.207
493,-0.008,-0.355,-0.121
494,0.102,-1.055,-0.770
495,0.082,-0.613,-1.195
496,0.090,-0.320,-0.938
497,-0.027,-0.703,-0.996
498,-0.398,-0.453,-1.090
499,-0.281,-0.582,-1.074
500,0.078,-0.570,-0.637
501,0.352,-0.742,-1.090
502,0.590,-0.793,-1.250
503,0.270,-0.906,-0.602
504,-0.133,-0.477,-0.840
505,-0.355,-0.230,-1.422
506,-0.355,-0.230,-1.422
507,-0.234,-0.809,-0.848
508,0.074,-0.520,-0.777
509,0.320,-0.953,-1.633
510,-0.137,-0.570,-0.738
511,0.043,-0.270,-1.059
512,0.102,-0.922,-1.293
513,-0.297,-0.441,-0.258
514,0.312,-0.527,-1.445
515,0.336,-0.609,-1.145
516,-0.219,-0.645,-0.391
517,0.180,-0.637,-1.324
518,0.012,-0.633,-0.660
