Sample,X,Y,Z
202,-0.680,0.227,-1.219
203,-0.426,0.023,-1.102
204,-0.301,-0.117,-0.660
205,-0.656,-0.160,-1.160
206,-0.742,0.055,-0.910
207,-0.730,0.594,-0.574
208,-0.617,-0.246,-1.145
209,-0.438,0.066,-0.852
210,-0.051,-0.152,-0.777
211,-0.250,-0.121,-1.191
212,-0.941,0.207,-0.695
213,-0.648,0.129,-0.957
214,-0.832,0.066,-1.020
215,-0.641,0.012,-1.070
216,-0.055,-0.301,-1.508
217,-0.352,0.039,-0.809
218,-1.145,0.117,-0.773
219,-0.637,-0.039,-1.039
220,-0.133,0.152,-0.727
221,-0.523,-0.066,-1.137
222,-0.445,-0.023,-1.176
223,-0.453,0.055,-0.609
224,-0.398,-0.152,-1.008
225,-0.605,0.125,-0.988
226,-0.633,0.418,-0.746
227,-0.469,-0.027,-1.125
228,-0.457,-0.051,-1.020
229,-0.301,-0.035,-1.051
230,-0.305,-0.023,-0.895
231,-0.828,0.004,-0.586
232,-0.781,-0.082,-0.988
233,-0.398,0.219,-0.828
234,-0.625,-0.047,-0.773
235,-0.633,-0.082,-1.141
236,-0.461,0.074,-0.965
237,-0.074,0.047,-0.957
238,-0.699,-0.133,-1.023
239,-0.844,0.000,-0.750
240,-0.387,0.246,-0.836
241,-0.449,-0.008,-1.082
242,-0.195,0.125,-1.473
243,-0.652,-0.168,-0.852
244,-0.902,-0.137,-0.527
245,-0.527,0.156,-1.426
246,-0.352,0.090,-1.082
247,-0.453,0.129,-0.883
248,-0.582,-0.297,-1.102
249,-0.762,-0.098,-0.672
250,-0.527,0.000,-1.086
251,-0.680,0.285,-1.062
252,-0.648,-0.074,-0.852
253,-0.695,-0.008,-0.945
254,-0.980,0.020,-0.750
255,-0.863,0.172,-0.871
256,-0.578,-0.074,-0.934
257,-0.469,0.012,-0.848
258,-0.324,0.078,-1.051
259,-0.223,0.098,-0.691
260,-0.844,0.008,-0.879
261,-1.000,0.129,-1.180
262,-0.594,0.199,-0.625
263,-0.055,-0.188,-1.156
264,-0.590,0.203,-1.402
265,-0.453,0.082,-0.895
266,-0.148,-0.023,-0.566
267,-0.840,-0.078,-0.879
268,-0.352,0.000,-0.988
269,-0.035,0.062,-0.648
270,-0.270,0.148,-1.367
271,-0.750,-0.129,-1.301
272,-1.035,-0.020,-0.445
273,-0.824,0.000,-0.770
274,-0.684,0.141,-1.449
275,-0.496,0.043,-1.305
276,0.395,0.172,-0.840
277,-0.625,-0.227,-0.934
278,-1.289,-0.152,-0.855
279,-0.648,0.363,-0.691
280,-0.691,-0.086,-1.129
281,-0.316,0.156,-1.297
282,-0.156,-0.176,-0.918
283,-0.410,-0.328,-0.562
284,-0.828,0.363,-0.871
285,-1.496,0.117,-0.980
286,-0.012,0.367,-0.977
287,0.094,-0.207,-0.977
288,-0.750,0.000,-0.840
289,0.047,-0.035,-1.141
290,0.047,-0.035,-1.141
291,-0.738,0.051,-0.523
292,-1.422,0.359,-0.777
293,0.586,-0.258,-1.391
294,0.082,-0.203,-0.406
295,-0.840,-0.004,-0.965
296,-0.312,0.559,-1.820
297,-1.312,-0.270,-0.418
298,-1.137,-0.148,-0.570
299,0.410,0.246,-1.930
300,-0.500,-0.473,-0.551
301,-0.492,-0.035,-0.348
302,0.105,0.453,-1.898
303,-1.387,-0.137,-0.492
304,-1.188,0.621,-0.371
305,0.703,-0.074,-1.992
306,-0.926,-0.625,-0.148
307,-1.012,-0.086,-0.031
308,-0.055,0.254,-1.934
309,-1.711,0.051,0.242
310,-0.715,0.227,-0.602
311,0.934,0.023,-1.918
312,-0.805,0.070,0.379
313,-0.012,0.547,-1.172
314,-0.246,-0.344,-1.391
315,-0.285,0.238,0.895
316,1.586,-0.492,-1.418
317,1.621,0.141,-1.223
318,1.684,0.363,-0.242
319,1.473,-0.199,-1.738
320,0.484,0.516,-0.520
321,1.711,-0.191,-0.508
322,1.992,-0.469,-1.621
323,1.992,0.051,-0.926
324,1.988,-0.117,-1.160
325,0.145,0.207,-1.352
326,-0.758,0.637,-1.070
327,1.504,-0.285,-1.582
328,0.266,-0.926,-0.945
329,0.098,0.422,-1.352
330,0.793,-0.477,-1.551
331,-1.145,0.492,0.293
332,-0.594,0.613,-1.566
333,0.117,-0.625,-1.379
334,-0.172,-0.289,0.777
335,0.742,0.164,-1.578
336,0.203,-0.121,-0.879
337,-0.785,0.305,0.918
338,0.906,0.602,-1.410
339,0.336,-0.023,-1.059
340,0.766,-0.164,0.207
341,1.934,-0.031,-1.574
342,0.680,-0.117,-0.680
343,0.113,0.688,-0.055
344,1.402,0.020,-1.527
345,1.152,0.086,-0.594
346,0.770,-0.441,-0.875
347,1.508,-0.152,-1.824
348,1.133,-0.098,-0.887
349,-0.367,0.254,-0.812
350,0.586,0.520,-1.754
351,1.043,-0.340,-1.164
352,0.914,-0.797,-0.738
353,0.168,0.336,-1.543
354,0.785,0.121,-1.457
355,0.184,-0.301,-0.371
356,-0.504,-0.141,-1.352
357,0.699,0.059,-1.578
358,0.234,-0.105,0.176
359,-0.230,0.008,-1.184
360,1.023,0.488,-1.570
361,0.441,-0.027,0.344
362,0.496,-0.195,-1.160
363,0.938,0.199,-1.266
364,0.215,0.609,-0.090
365,1.008,-0.238,-1.441
366,0.496,0.098,-0.559
367,0.707,0.266,-0.449
368,0.949,0.230,-1.059
369,0.402,-0.074,-0.324
370,0.949,-0.055,-0.715
371,1.410,0.539,-1.359
372,0.594,-0.551,-0.957
373,0.801,0.242,-0.785
374,0.727,0.750,-1.484
375,0.496,-0.762,-1.086
376,0.469,0.164,-0.363
377,1.059,0.043,-1.848
378,1.180,-0.605,-1.004
379,0.762,-0.086,-0.504
380,0.090,0.195,-1.953
381,0.113,0.469,-0.703
382,0.645,-0.371,-0.758
383,1.180,-0.156,-1.891
384,0.969,-0.352,-0.699
385,0.922,-0.285,-0.441
386,0.297,0.262,-1.414
387,-0.227,0.387,-0.918
388,0.379,-0.043,-0.656
389,0.246,-0.082,-1.012
390,0.441,0.082,-1.102
391,0.930,0.145,-0.746
392,0.434,0.316,-0.406
393,0.609,0.293,-0.898
394,0.945,0.160,-0.727
395,1.293,-0.035,-0.598
396,0.938,-0.379,-0.961
397,0.562,0.250,-0.594
398,0.141,0.129,-0.832
399,0.238,0.430,-0.945
400,0.473,0.223,-1.012
401,0.895,-0.227,-1.238
402,1.023,-0.500,-0.902
403,0.645,0.238,-0.785
404,1.125,0.211,-1.426
405,0.195,-0.180,-1.027
406,0.297,-0.070,-1.129
407,1.082,-0.418,-1.469
408,0.500,-0.016,-0.898
409,0.422,0.094,-1.469
410,0.238,0.039,-0.758
411,0.578,-0.129,-0.371
412,0.500,0.078,-1.484
413,0.426,0.016,-1.191
414,0.660,-0.051,-0.609
415,0.785,-0.109,-1.012
416,0.445,0.121,-1.219
417,0.711,0.043,-0.555
418,0.344,0.246,-0.352
419,0.078,-0.176,-1.273
420,0.750,0.223,-0.688
421,1.238,-0.082,-0.500
422,0.660,0.301,-1.086
423,0.488,0.191,-1.051
424,0.453,0.055,-0.465
425,0.141,0.227,-0.727
426,0.293,0.000,-1.391
427,0.816,-0.168,-0.734
428,1.297,0.023,-1.051
429,0.793,-0.336,-1.406
430,0.242,0.520,-0.684
431,0.555,-0.223,-1.156
432,0.047,-0.105,-0.648
433,0.820,0.207,-1.398
434,1.332,-0.609,-1.445
435,0.980,0.223,-0.406
436,0.180,0.105,-1.707
437,0.410,0.062,-0.863
438,0.527,-0.215,-0.145
439,0.281,0.367,-1.730
440,0.641,-0.102,-1.406
441,1.332,-0.301,-0.141
442,0.176,-0.059,-1.359
443,0.191,0.566,-1.312
444,0.984,-0.129,0.027
445,0.871,-0.012,-0.727
446,0.480,-0.020,-1.492
