Sample,X,Y,Z
0,0.035,0.023,-0.590
1,0.004,0.039,-0.949
2,0.004,0.004,-0.934
3,0.062,0.008,-0.938
4,0.082,0.023,-0.973
5,0.055,0.004,-0.965
6,0.012,0.035,-0.969
7,0.020,0.016,-0.957
8,0.020,0.000,-0.930
9,0.074,0.027,-0.941
10,0.062,0.004,-0.973
11,0.051,0.020,-0.953
12,0.020,0.012,-0.957
13,0.012,0.012,-0.945
14,0.051,0.035,-0.934
15,0.055,0.008,-0.945
16,0.062,0.016,-0.969
17,0.051,0.020,-0.965
18,0.012,0.012,-0.949
19,0.012,0.031,-0.949
20,0.055,0.008,-0.930
21,0.062,0.012,-0.949
22,0.066,0.023,-0.973
23,0.031,0.004,-0.969
24,0.008,0.043,-0.961
25,0.027,0.020,-0.926
26,0.066,0.027,-0.953
27,0.082,0.039,-0.957
28,0.055,0.008,-0.957
29,0.012,0.008,-0.961
30,0.039,0.035,-0.957
31,0.020,0.008,-0.930
32,0.074,0.031,-0.949
33,0.051,0.000,-0.957
34,0.047,0.016,-0.965
35,0.020,0.016,-0.957
36,0.012,0.016,-0.938
37,0.055,0.035,-0.953
38,0.062,0.004,-0.945
39,0.062,0.004,-0.957
40,0.043,0.023,-0.977
41,0.016,0.016,-0.945
42,0.027,0.027,-0.934
43,0.066,0.016,-0.945
44,0.059,0.004,-0.934
45,0.070,0.020,-0.957
46,0.023,0.008,-0.977
47,0.012,0.016,-0.945
48,0.008,0.008,-0.949
49,0.059,0.008,-0.926
50,0.059,0.008,-0.926
51,0.094,0.043,-0.957
52,0.062,0.012,-0.957
53,0.004,0.000,-0.949
54,0.023,0.004,-0.945
55,0.012,0.016,-0.930
56,0.082,0.027,-0.945
57,0.074,0.016,-0.961
58,0.051,-0.008,-0.969
59,0.020,0.027,-0.965
60,0.008,0.012,-0.941
61,0.043,0.031,-0.926
62,0.078,0.004,-0.957
63,0.059,0.004,-0.949
64,0.051,0.020,-0.965
65,0.004,0.008,-0.965
66,0.012,0.020,-0.934
67,0.062,0.012,-0.930
68,0.062,0.012,-0.941
69,0.074,0.027,-0.961
70,0.031,0.008,-0.965
71,0.000,0.023,-0.949
72,0.016,0.020,-0.934
73,0.047,-0.027,-0.934
74,0.047,-0.027,-0.934
75,0.090,0.016,-0.961
76,0.078,0.027,-0.973
77,0.000,0.012,-0.949
78,0.008,0.031,-0.945
79,0.012,0.012,-0.934
80,0.070,0.020,-0.926
81,0.082,-0.004,-0.977
82,0.047,0.008,-0.965
83,0.047,0.008,-0.965
84,0.004,0.031,-0.949
85,-0.016,0.031,-0.945
86,0.043,0.016,-0.938
87,0.082,0.004,-0.934
88,0.062,0.000,-0.969
89,0.031,0.027,-0.953
90,-0.008,0.020,-0.957
91,0.004,0.020,-0.949
92,0.059,0.008,-0.930
93,0.062,0.039,-0.945
94,0.047,0.270,-1.070
95,0.016,0.289,-1.215
96,-0.027,0.199,-1.066
97,0.059,0.117,-0.953
98,0.094,0.141,-0.922
99,0.129,0.418,-0.988
100,0.156,0.680,-1.215
101,0.051,0.734,-1.254
102,-0.023,0.684,-1.098
103,0.012,0.543,-0.934
104,0.070,0.543,-0.820
105,0.051,0.633,-0.832
106,0.043,0.711,-0.875
107,-0.055,0.785,-0.805
108,-0.105,0.785,-0.754
109,-0.016,0.750,-0.750
110,0.125,0.762,-0.730
111,0.145,0.773,-0.871
112,0.156,0.785,-0.895
