Sample,X,Y,Z
208,0.340,0.977,-0.879
209,0.184,0.578,-1.547
210,-0.242,0.738,-1.098
211,-0.090,0.746,-0.824
212,0.430,0.066,-0.941
213,0.465,0.543,-0.715
214,0.336,0.586,-1.379
215,-0.184,1.211,-1.156
216,-0.270,0.453,-0.898
217,-0.227,0.410,-0.820
218,0.098,0.270,-0.875
219,-0.055,0.562,-0.734
220,0.008,1.199,-1.301
221,0.176,0.406,-1.375
222,0.312,0.387,-0.242
223,0.176,1.000,-1.055
224,-0.312,0.887,-1.258
225,0.055,0.539,-0.418
226,0.785,0.137,-1.016
227,0.281,0.434,-0.918
228,-0.199,0.707,-0.590
229,-0.426,1.176,-0.855
230,-1.125,0.773,-1.156
231,-0.215,0.680,-0.957
232,0.664,0.121,-1.023
233,0.492,0.383,-0.988
234,0.395,0.969,-1.215
235,0.129,1.066,-1.059
236,0.082,0.363,-0.535
237,-0.109,0.961,-0.914
238,0.160,0.488,-1.555
239,0.535,0.508,-0.645
240,0.434,0.605,-1.051
241,-0.508,0.430,-1.078
242,-0.809,1.355,-0.262
243,-0.426,0.152,-1.129
244,-0.051,1.121,-0.980
245,0.781,0.250,-1.625
246,0.430,0.359,-0.496
247,0.141,0.832,-0.770
248,-0.273,0.676,-1.387
249,-0.023,1.008,-0.512
250,0.238,0.113,-0.891
251,0.098,1.031,-0.883
252,0.137,-0.066,-1.574
253,-0.062,0.875,-0.328
254,-0.375,0.664,-1.086
255,-0.328,0.828,-1.367
256,0.109,0.730,-0.625
257,0.227,0.344,-1.215
258,0.406,0.320,-1.113
259,0.016,0.574,-0.629
260,0.152,0.902,-0.941
261,-0.422,0.473,-0.906
262,-0.270,0.859,-0.602
263,0.109,0.367,-1.496
264,0.316,1.023,-1.238
265,0.633,0.480,-1.098
266,-0.016,0.434,-0.742
267,-0.641,1.020,-0.750
268,-0.430,0.562,-1.152
269,-0.137,1.062,-0.781
270,0.551,0.688,-1.316
271,0.859,0.523,-0.988
272,0.613,0.008,-0.793
273,-0.336,0.910,-0.469
274,-0.539,0.934,-0.711
275,-0.066,0.828,-0.844
276,0.371,0.531,-0.867
277,0.113,0.469,-1.254
278,0.367,0.559,-1.035
279,-0.371,0.461,-0.484
280,-0.492,0.820,-0.941
281,0.047,0.707,-1.051
282,0.352,0.477,-0.652
283,0.133,0.031,-1.086
284,-0.074,0.594,-0.957
285,0.277,0.746,-0.785
286,0.457,0.648,-1.156
287,-0.465,1.227,-1.566
288,0.105,0.684,-1.355
289,0.094,-0.195,-0.242
290,-0.711,1.004,-0.977
291,0.363,1.055,-1.906
292,0.754,0.383,-0.242
293,-0.004,0.098,-0.414
294,-0.617,1.352,-1.840
295,0.383,0.258,-0.777
296,-0.117,0.781,0.043
297,-0.367,1.215,-1.859
298,0.996,-0.344,-1.047
299,0.340,-0.094,1.508
300,-1.258,1.004,-1.496
301,-0.117,1.230,-1.707
302,0.211,-0.145,0.781
303,-0.914,1.047,-1.031
304,0.992,0.949,-1.934
305,1.137,-0.906,1.004
306,-0.816,1.020,0.023
307,-0.094,0.668,-1.992
308,0.023,-0.184,0.977
309,-0.801,1.109,0.211
310,1.004,0.617,-1.992
311,1.020,0.133,0.516
312,-0.508,0.527,0.262
313,-0.027,0.504,-1.992
314,-0.027,0.504,-1.992
315,-0.785,0.234,0.820
316,-1.180,0.672,0.535
317,0.586,0.918,-1.992
318,0.387,-0.371,0.086
319,0.086,0.363,0.320
320,0.934,0.500,-1.992
321,-0.801,0.641,0.656
322,-0.363,-0.031,0.184
323,0.969,0.672,-1.992
324,-0.039,0.309,-0.027
325,1.055,-0.223,-0.902
326,0.902,0.227,-1.578
327,-1.012,1.027,0.152
328,0.160,-0.574,-1.359
329,-0.547,0.742,-0.387
330,-0.809,0.738,-1.062
331,1.094,-0.352,-1.781
332,0.477,-0.062,-0.195
333,0.246,0.461,-1.371
334,0.098,-0.328,-1.109
335,-1.047,0.711,0.473
336,0.051,0.160,-1.762
337,0.059,-0.188,-0.984
338,0.059,-0.188,-0.984
339,-0.043,0.426,0.078
340,1.113,-0.227,-1.988
341,-0.828,0.641,0.141
342,-0.699,0.430,-0.477
343,0.297,-0.605,-1.699
344,-1.016,0.809,0.410
345,1.184,-0.262,-1.590
346,1.402,-0.234,-0.992
347,-0.879,0.898,0.266
348,0.832,-0.754,-1.828
349,-0.812,0.020,0.566
350,-0.812,-0.258,-0.398
351,0.859,-0.719,-1.859
352,-0.352,0.766,0.059
353,-0.020,0.398,-1.727
354,0.637,-0.258,-0.953
355,-1.082,-0.062,0.328
356,0.277,-0.668,-1.902
357,-0.719,-0.270,0.078
358,-0.156,0.383,-0.367
359,1.418,-1.039,-1.969
360,-0.484,0.816,0.672
361,1.020,-0.164,-1.629
362,0.742,-0.305,-1.188
363,-1.242,0.844,1.008
364,1.031,-1.176,-1.824
365,-0.242,-0.340,0.262
366,-0.777,0.648,-0.355
367,0.770,-1.086,-1.898
368,-0.746,-0.023,1.066
369,0.500,-0.668,-0.957
370,0.883,-1.652,-1.152
371,-0.391,-0.141,1.348
372,0.832,-1.438,-1.527
373,-0.598,-0.914,-0.215
374,-1.098,-0.133,-0.023
375,0.750,-1.285,-1.863
376,-0.613,-0.438,-0.441
377,0.289,-0.680,-1.672
378,0.395,-1.480,-0.961
379,-1.141,0.012,-0.254
380,0.648,-0.973,-1.992
381,0.629,-1.305,-0.598
382,-0.355,0.043,-1.168
383,0.980,-0.477,-1.984
384,-0.449,-0.977,0.461
385,-0.262,0.102,-0.801
386,1.004,-1.051,-1.836
387,-0.328,0.047,1.309
388,0.168,-0.227,-1.172
389,0.273,-0.371,-1.531
390,-0.355,-0.055,1.117
391,-0.090,-0.117,-1.469
392,0.113,0.512,-1.180
393,0.105,-1.176,0.977
394,-0.355,-0.559,0.016
395,0.109,-0.316,-1.055
396,0.000,-0.801,0.527
397,-0.922,0.797,-0.613
398,0.180,-0.398,-1.852
399,0.078,-0.953,0.766
400,-0.574,-0.547,-0.672
401,0.539,-0.820,-1.938
