Sample,X,Y,Z
201,0.223,0.117,-1.418
202,-0.125,-0.156,-0.934
203,-1.137,0.090,-0.844
204,-0.719,0.148,-1.137
205,-0.965,-0.113,-0.449
206,-0.383,0.180,-1.055
207,-0.137,-0.059,-1.781
208,-0.453,-0.070,-0.473
209,-0.562,0.070,-0.652
210,-0.820,-0.152,-1.383
211,-0.453,0.109,-0.676
212,0.070,-0.191,-1.086
213,-0.629,0.059,-1.211
214,-1.023,-0.004,-0.660
215,-0.773,0.352,-1.113
216,-0.527,0.059,-1.258
217,-0.277,-0.098,-0.910
218,-0.121,-0.051,-0.961
219,-0.898,0.145,-0.730
220,-0.699,0.227,-0.629
221,-0.520,0.070,-1.027
222,-0.066,-0.078,-0.973
223,0.117,-0.117,-0.910
224,-0.766,0.090,-0.891
225,-0.883,0.102,-1.035
226,-0.902,0.027,-0.719
227,-1.121,0.230,-0.828
228,-0.148,-0.043,-1.414
229,0.168,-0.285,-0.781
230,-0.531,0.035,-0.832
231,-0.609,0.191,-1.086
232,-0.840,0.188,-0.500
233,-0.566,-0.285,-1.125
234,-0.492,-0.035,-1.164
235,-0.262,0.059,-0.852
236,-0.129,-0.043,-1.316
237,-0.887,0.211,-0.930
238,-0.910,0.004,-0.902
239,-0.691,-0.133,-0.762
240,-0.410,-0.074,-1.074
241,-0.008,-0.121,-1.402
242,-0.461,0.188,-0.723
243,-0.609,0.043,-0.961
244,-0.691,0.086,-1.215
245,-0.746,-0.074,-0.812
246,-0.570,-0.039,-0.691
247,-0.809,-0.082,-0.871
248,-0.770,0.090,-1.004
249,-0.648,0.164,-1.020
250,-0.852,0.195,-0.883
251,-0.500,-0.188,-0.895
252,-0.668,-0.008,-0.883
253,-0.523,0.242,-0.754
254,-0.520,0.023,-0.824
255,-0.488,-0.043,-0.867
256,-0.777,0.016,-1.102
257,-0.586,0.250,-0.996
258,-0.402,-0.055,-0.930
259,-0.648,-0.016,-1.297
260,-0.336,0.160,-0.969
261,-0.473,-0.012,-0.570
262,-0.477,0.043,-1.047
263,-0.184,-0.168,-1.137
264,-0.535,-0.055,-0.605
265,-0.152,0.133,-1.055
